-0.00361633,-0.0139923,0.00907898
-0.0014801,-0.0353546,0.00587463
0.00706482,-0.0428314,0.00267029
0.00813293,-0.0246735,0.000534058
-0.0014801,0.000961304,-0.00267029
-0.0164337,0.0201874,-0.0122833
-0.0228424,0.00523376,-0.018692
-0.0132294,-0.0129242,-0.00480652
-0.000411987,-0.020401,0.00694275
0.00172424,-0.00437927,0.0037384
-0.00788879,0.0127106,-0.0112152
-0.0249786,0.0180511,-0.0304413
-0.0324554,0.0137787,-0.0379181
-0.0185699,0.00737,-0.0283051
0.00706482,-0.00865173,-0.00801086
0.0262909,-0.00971985,0.00480652
0.0305634,-0.000106812,-0.000534058
0.0230865,0.0201874,-0.00907898
0.0188141,0.0265961,-0.0197601
0.0156097,0.0265961,-0.0261688
0.0059967,0.00843811,-0.0240326
0.00492859,0.00202942,-0.0176239
0.0220184,-0.000106812,-0.00587463
0.0294952,0.0191193,-0.00587463
0.0230865,0.0244598,-0.0165558
0.00492859,0.0223236,-0.0251007
0.00172424,0.0127106,-0.0240326
0.0134735,0.00630188,-0.0176239
0.0145416,0.00630188,-0.0144196
0.00492859,0.00309753,-0.0112152
